system:index,AMOSTRAS,AMOSTRA_AM,BioNB,CARTA_2,CLASS_2022,DECLIVIDAD,LAT,LON,NEW_PROB,NEW_WEIGHT,PESO_VOT,PROB_AMOS2,StateNB,TARGETID,VAL_PESO,classification,reference,year,.geo
0000000000000000508d_0,,0,1,SA-23-Z,APICUM,D2,-2.36822643,-43.5448834,1.0946847778015985E-5,55301.69792534376,1.4069391242564806E-5,1.4069391242564806E-5,21.0,12037,1,3,32,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000004b0e_0,,0,1,SA-23-Z,CAMPO ALAGADO E ÁREA PANTANOSA,D1,-3.95150712,-44.9618859,1.1945065471771139E-5,60305.96763411252,1.4073889021195698E-5,1.4073889021195698E-5,21.0,16624,1,11,11,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000004b0f_0,,0,1,SA-23-Z,CAMPO ALAGADO E ÁREA PANTANOSA,D1,-3.69171434,-44.8497761,1.1945065471771139E-5,60305.96763411252,1.4073889021195698E-5,1.4073889021195698E-5,21.0,16625,1,6,11,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000004b1b_0,,0,1,SA-23-Z,CAMPO ALAGADO E ÁREA PANTANOSA,D1,-2.82367228,-44.7236527,1.1945065471771139E-5,60305.96763411252,1.4073889021195698E-5,1.4073889021195698E-5,21.0,16656,1,11,11,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000004b26_0,Treinamento,1,1,SA-23-Z,CAMPO ALAGADO E ÁREA PANTANOSA,D1,-3.72055026,-44.6735267,1.1945065471771139E-5,60305.96763411252,1.4073889021195698E-5,1.4073889021195698E-5,21.0,16694,1,6,11,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000004b2f_0,,0,1,SA-23-Z,CAMPO ALAGADO E ÁREA PANTANOSA,D1,-3.12766217,-44.7872534,1.1945065471771139E-5,60305.96763411252,1.4073889021195698E-5,1.4073889021195698E-5,21.0,16709,1,11,11,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000004b34_0,Treinamento,1,1,SA-23-Z,CAMPO ALAGADO E ÁREA PANTANOSA,D1,-2.69647083,-44.7344325,1.1945065471771139E-5,60305.96763411252,1.4073889021195698E-5,1.4073889021195698E-5,21.0,16717,1,11,11,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000004b36_0,Treinamento,1,1,SA-23-Z,CAMPO ALAGADO E ÁREA PANTANOSA,D1,-3.55535008,-44.8069265,1.1945065471771139E-5,60305.96763411252,1.4073889021195698E-5,1.4073889021195698E-5,21.0,16720,1,11,11,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000004b39_0,Treinamento,1,1,SA-23-Z,CAMPO ALAGADO E ÁREA PANTANOSA,D1,-3.27992661,-44.9823675,1.1945065471771139E-5,60305.96763411252,1.4073889021195698E-5,1.4073889021195698E-5,21.0,16731,1,11,11,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000004b48_0,Treinamento,1,1,SA-23-Z,CAMPO ALAGADO E ÁREA PANTANOSA,D1,-2.95141271,-44.359296,1.1945065471771139E-5,60305.96763411252,1.4073889021195698E-5,1.4073889021195698E-5,21.0,16762,1,11,11,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
